ObjectID,GlobalId,Name,Description,ObjectType,Material,Volume (m³),Surface Area (m²),Top Elevation (m),Bottom Elevation (m)
1111109,2rtQv8udL5jOUi$L56GmYy,Basic Wall:_H-DW-1_12 cm:4979145,N/A,Opening,No material assigned,1.71,10.27,46.00,45.25
1111134,2rtQv8udL5jOUi$L56GmY$,Basic Wall:_H-DW-1_12 cm:4979145,N/A,Opening,No material assigned,0.69,6.85,46.00,45.25
2358629,318BybHvn1qfSCdTy5_oXy,Basic Wall:_H-DW-1_12 cm:11034655,N/A,Opening,No material assigned,7.04,24.34,19.67,17.50
1111566,2S3cit$PH738P8tfwXQyhH,Basic Wall:_H-DW-1_12 cm:4979149,N/A,Opening,No material assigned,2.42,15.50,46.65,44.50
1111591,0ePJz50qLCoRCHlimidoXg,Basic Wall:_H-DW-1_12 cm:4979149,N/A,Opening,No material assigned,2.01,13.18,46.65,44.50
1111799,1iwG70gXj23gw1kkhqizi_,Basic Wall:_H-DW-1_12 cm:4979150,N/A,Opening,No material assigned,0.65,11.92,46.67,44.50
1111965,2xIBsDZlD0nhOoVKMUrULh,Basic Wall:_H-DW-1_12 cm:4979152,N/A,Opening,No material assigned,1.71,10.27,46.00,45.25
1111990,2xIBsDZlD0nhOoVKMUrULg,Basic Wall:_H-DW-1_12 cm:4979152,N/A,Opening,No material assigned,0.69,6.85,46.00,45.25
1112250,2xIBsDZlD0nhOoVKMUrUP7,Basic Wall:_H-DW-1_12 cm:4979156,N/A,Opening,No material assigned,0.69,6.85,46.00,45.25
1112396,2xIBsDZlD0nhOoVKMUrUP$,Basic Wall:_H-DW-1_12 cm:4979159,N/A,Opening,No material assigned,1.71,10.27,46.25,45.50
1112421,2xIBsDZlD0nhOoVKMUrUP_,Basic Wall:_H-DW-1_12 cm:4979159,N/A,Opening,No material assigned,0.69,6.85,46.25,45.50
1112939,1iwG70gXj23gw1kkhqj23E,Basic Wall:_H-DW-1_12 cm:4980160,N/A,Opening,No material assigned,0.23,4.48,46.67,44.50
1112964,1iwG70gXj23gw1kkhqj23v,Basic Wall:_H-DW-1_12 cm:4980160,N/A,Opening,No material assigned,0.23,4.48,46.67,44.50
1113234,2wpDu0dIXDYP1VmhqJr4hl,Basic Wall:_H-DW-1_12 cm:4980162:1,N/A,Opening,No material assigned,0.03,0.97,48.63,46.67
1113954,1iwG70gXj23gw1kkhqiziy,Basic Wall:_H-DW-1_12 cm:4980229,N/A,Opening,No material assigned,0.65,11.92,46.67,44.50
1114108,2xIBsDZlD0nhOoVKMUrUP8,Basic Wall:_H-DW-1_12 cm:4980230,N/A,Opening,No material assigned,0.69,6.85,46.00,45.25
1114254,1iwG70gXj23gw1kkhqj2CO,Basic Wall:_H-DW-1_12 cm:4980234,N/A,Opening,No material assigned,0.23,4.48,46.67,44.50
1114279,1iwG70gXj23gw1kkhqj2CR,Basic Wall:_H-DW-1_12 cm:4980234,N/A,Opening,No material assigned,0.23,4.48,46.67,44.50
1114549,29YbiovbzE1AbPZkudAmQs,Basic Wall:_H-DW-1_12 cm:4980236:1,N/A,Opening,No material assigned,0.03,0.97,48.63,46.67
1114667,2GElxx8SDAtuLwpO36JKnf,Basic Wall:_H-DW-1_12 cm:4980251,N/A,Opening,No material assigned,2.01,13.18,46.65,44.50
1114692,2v2vg$NW93R9gmIxPNcoB4,Basic Wall:_H-DW-1_12 cm:4980251,N/A,Opening,No material assigned,2.42,15.50,46.65,44.50
1114900,2xIBsDZlD0nhOoVKMUrUT4,Basic Wall:_H-DW-1_12 cm:4980252,N/A,Opening,No material assigned,1.71,10.27,46.00,45.25
2358603,318BybHvn1qfSCdTy5_oXz,Basic Wall:_H-DW-1_12 cm:11034655,N/A,Opening,No material assigned,7.04,24.34,19.67,17.50
1114925,2xIBsDZlD0nhOoVKMUrVMT,Basic Wall:_H-DW-1_12 cm:4980252,N/A,Opening,No material assigned,0.69,6.85,46.00,45.25
1114949,25x9BPg1b27Rg41O6PoQ3Z,Basic Wall:_H-DW-1_12 cm:4980252,N/A,Opening,No material assigned,0.69,6.85,46.00,45.25
1116560,2$K1Qd_YPCsx40aO_JwKZL,Basic Wall:_H-DW-1_12 cm:4981207:1,N/A,Opening,No material assigned,0.06,2.04,48.68,44.50
